distribution,method,max_bits,n,compress_time_avg,decompress_time_avg,get_time_avg
skewed,method2,8,100,0.000124636573933198,0.00013648943110768284,0.0021040945721324533
skewed,method1,10,100,0.00015691300255379507,0.00010072085673787765,0.003386936998660011
skewed,method2,10,100,0.00015498771556719606,0.0001612232840021274,0.0024667398538440466
skewed,method1,12,100,0.0001268615700869954,8.972585783340037e-05,0.002318287571792358
skewed,method2,12,100,9.840642867077674e-05,9.228999884466507e-05,0.0017107988553886702
skewed,method1,14,100,0.0001193085647953142,9.047414641827345e-05,0.002375038430078088
skewed,method2,14,100,8.331042980509145e-05,8.067642504881536e-05,0.0014259170004931679
skewed,method1,16,100,0.00012248128768987954,9.526314222187336e-05,0.0023276658549938084
skewed,method2,16,100,0.00017789556919264475,0.00019559514060217355,0.0023919101430302753
skewed,method1,18,100,0.00013433471446790333,9.219042840413749e-05,0.0023339021468668114
skewed,method2,18,100,0.00018732414589196975,0.00019277157220390758,0.0023276860010810196
skewed,method1,20,100,0.0001428150010594566,0.00011983728576784156,0.0027911618609713124
skewed,method2,20,100,0.000158718997097042,0.00017296657357032279,0.0022617058587327066
skewed,method1,4,1000,0.0009677790013873684,0.0006669132853858173,0.002342801570193842
skewed,method2,4,1000,0.0011571084282227925,0.000698680999838481,0.0021652951462393893
skewed,method1,6,1000,0.0010666841387449364,0.0007101448552150812,0.00241840942804369
skewed,method2,6,1000,0.0014747959960784232,0.0008682551456981205,0.002299200855694445
skewed,method1,8,1000,0.001121040144685789,0.0008843485723316137,0.0024364985708546427
skewed,method2,8,1000,0.0012447391387208232,0.0008128114319073834,0.0018510699987278453
skewed,method1,10,1000,0.0010302271444483527,0.0007693305711394974,0.002346323713676871
skewed,method2,10,1000,0.0017719600021207174,0.0010904898559342005,0.0020847090012726505
skewed,method1,12,1000,0.0010307957148013105,0.0007551627142155277,0.002209304998229657
skewed,method2,12,1000,0.0018031587179783465,0.0010975937142835132,0.0022118992887304296
skewed,method1,14,1000,0.001210816144261376,0.0009307132817671768,0.0025581817150980768
skewed,method2,14,1000,0.0015914407122181728,0.0010574251438291477,0.0020249841431255584
skewed,method1,16,1000,0.0009074064270992364,0.0007657984304907066,0.0018973647176088499
skewed,method2,16,1000,0.0026345382835383396,0.0017856387109662006,0.0021707930011741284
skewed,method1,18,1000,0.0009902279998641461,0.0008338134295107531,0.002059316570271871
skewed,method2,18,1000,0.00244379200324017,0.0016359992878278717,0.002023887140759533
skewed,method1,20,1000,0.0009085537167266011,0.0008348312860886965,0.0019098164297507278
skewed,method2,20,1000,0.002606002861284651,0.0015526487134463554,0.0020119941452451584
skewed,method1,4,10000,0.011768784001885382,0.005184498858787785,0.001561349000050021
skewed,method2,4,10000,0.023252396574077596,0.004714258002682722,0.0014543921445562904
skewed,method1,6,10000,0.011496702710116682,0.005779176283145456,0.001529701000046251
skewed,method2,6,10000,0.030068933429512463,0.005491749853328136,0.0014606282825947606
skewed,method1,8,10000,0.012559535572238798,0.006465465424948239,0.0015239241433196834
skewed,method2,8,10000,0.041172489858581685,0.006479463714640588,0.0014608275731526582
skewed,method1,10,10000,0.014234435715479776,0.007369469146526951,0.0015555921459703573
skewed,method2,10,10000,0.05710693957267462,0.00818249057504415,0.0014723215697033862
skewed,method1,12,10000,0.015353012281203908,0.008275349000801466,0.0015874795727930696
skewed,method2,12,10000,0.057308411427324506,0.008340670569201134,0.001465956142055802
skewed,method1,14,10000,0.016975203000973643,0.009075608713568986,0.0016345424311501639
skewed,method2,14,10000,0.05977097071341372,0.008470046142714896,0.0015465027120496546
skewed,method1,16,10000,0.018958142571916272,0.010080803142045625,0.0017285187184045623
skewed,method2,16,10000,0.10440571571650382,0.01576923543013566,0.0015132882856830423
skewed,method1,18,10000,0.02140060757145485,0.011060115423918302,0.001713792429654859
skewed,method2,18,10000,0.10388882113953254,0.015569619285607976,0.00152328542649879
skewed,method1,20,10000,0.024414812428793602,0.012514028997559632,0.0017405915714334697
skewed,method2,20,10000,0.10451690271604873,0.015761622855539566,0.001501874000366245
outlier,method1,4,100,6.513199852114277e-05,5.2440998842939734e-05,0.0017657541424601472
outlier,method2,4,100,9.982299733175231e-05,7.789300122697438e-05,0.0022641708533878307
outlier,method1,6,100,8.057671116798051e-05,6.004385691734829e-05,0.001872201994826485
outlier,method2,6,100,9.897485350458217e-05,8.506656740792096e-05,0.002158440713953626
outlier,method1,8,100,0.00010597899589421493,8.189356802696628e-05,0.002448910570819862
outlier,method2,8,100,0.00010438256763986178,9.190057088354868e-05,0.0019037904296835353
outlier,method1,10,100,0.00011619571471653347,8.741114080683994e-05,0.0024833121403519598
outlier,method2,10,100,0.0001192585748088147,0.00011110728623212449,0.0019610397097754423
outlier,method1,12,100,7.183657518388438e-05,5.8736427620585475e-05,0.0015733815712987312
outlier,method2,12,100,0.00012712071475107223,0.00011913885620223092,0.002214902573281766
outlier,method1,14,100,0.00011784200199014907,9.408614174130239e-05,0.0025505889997085823
outlier,method2,14,100,0.00010957114032602735,0.00011217485838902317,0.0019857237161236946
outlier,method1,16,100,0.00012580385581324144,0.00010047157203579056,0.00263599499677574
outlier,method2,16,100,0.00012946557295176068,0.00013206942821852863,0.0016604835712184598
outlier,method1,18,100,9.229985880665481e-05,7.806214229536376e-05,0.001953477143875456
outlier,method2,18,100,0.00016561328707861582,0.00018181671579701027,0.0022636218574397
outlier,method1,20,100,0.0001242774264288268,9.10328547303964e-05,0.00221847442818606
outlier,method2,20,100,0.00017216857148533954,0.00018386185443627516,0.002266245717432217
outlier,method1,4,1000,0.0008030737163997921,0.0005406801418368039,0.0019345400006776409
outlier,method2,4,1000,0.0007874390014746625,0.0005311219969631306,0.0016418957176418708
outlier,method1,6,1000,0.0009187804285569914,0.0006798537111275696,0.0022149124290860656
outlier,method2,6,1000,0.00110471728632027,0.0007364449972685959,0.0019456449995881744
outlier,method1,8,1000,0.0007878980000636407,0.0005840214310280446,0.001783154287425402
outlier,method2,8,1000,0.0013630201449684267,0.0008367468565536131,0.0019863620047025116
outlier,method1,10,1000,0.0010332102870701679,0.0007956904300954193,0.002339928288295466
outlier,method2,10,1000,0.0016780734274237017,0.0010871077143487387,0.002144612282531203
outlier,method1,12,1000,0.0010294584312110341,0.0007686018548806065,0.0021468372849215355
outlier,method2,12,1000,0.0017390747109727403,0.0010965261421266145,0.002123301139883032
outlier,method1,14,1000,0.0009984491438704676,0.0007408550029919882,0.002135702284119491
outlier,method2,14,1000,0.0018339685733995534,0.0011728025690120245,0.002246959856295559
outlier,method1,16,1000,0.0013268222828628495,0.0009915049969484763,0.0026388684283509584
outlier,method2,16,1000,0.0025931322847359945,0.0017574228550074622,0.0021786348599042477
outlier,method1,18,1000,0.0012468238564906642,0.000950458282854275,0.002441457285645551
outlier,method2,18,1000,0.002835291429489319,0.001777956569899938,0.0023310087147235337
outlier,method1,20,1000,0.0012282164326669382,0.0009856581434308151,0.002341893861219952
outlier,method2,20,1000,0.002959618719095098,0.0017801512835181452,0.0022442955690036926
outlier,method1,4,10000,0.01054312143034102,0.005046831712076839,0.0014773400013967017
outlier,method2,4,10000,0.02306579043007722,0.004703692287356327,0.001450720858494086
outlier,method1,6,10000,0.011520657998127197,0.005775703853162538,0.0015228264279098117
outlier,method2,6,10000,0.030069332000234032,0.005534193287270942,0.0014582235682090478
outlier,method1,8,10000,0.012590594573079475,0.006502631003968418,0.0015540155748437559
outlier,method2,8,10000,0.041099884137760716,0.006480062002083287,0.0014516084276172997
outlier,method1,10,10000,0.014016820999261524,0.00730438728351146,0.0015557417126339196
outlier,method2,10,10000,0.057514371999007254,0.008204210713821729,0.0014560784288083336
outlier,method1,12,10000,0.0152161831439506,0.00813387057444613,0.0015934058610582724
outlier,method2,12,10000,0.0569532281453056,0.008335561718143123,0.0014785274335216464
outlier,method1,14,10000,0.01693002528710557,0.009047472714363331,0.0016404192844804908
outlier,method2,14,10000,0.05836310156986916,0.008405602572435913,0.0015158024283924273
outlier,method1,16,10000,0.01885851914370765,0.010617981140967458,0.0017720895723739108
outlier,method2,16,10000,0.10476781071546222,0.015665600855884674,0.0014986615694527114
outlier,method1,18,10000,0.021150895284206075,0.01099141157257171,0.0017046032901687016
outlier,method2,18,10000,0.1031872854301972,0.015569758857184621,0.0015164114281235794
outlier,method1,20,10000,0.02358584728374678,0.012085214288422972,0.001770782856120994
outlier,method2,20,10000,0.10285182799894496,0.01570247671250919,0.001508010141800956
