distribution,method,max_bits,n,compress_time_avg,decompress_time_avg,get_time_avg
skewed,method2,12,1000,1.8031587179783466,1.0975937142835133,2.2118992887304296
skewed,method1,14,1000,1.210816144261376,0.9307132817671767,2.5581817150980766
skewed,method2,14,1000,1.5914407122181728,1.0574251438291478,2.0249841431255584
skewed,method1,16,1000,0.9074064270992365,0.7657984304907066,1.89736471760885
skewed,method2,16,1000,2.6345382835383395,1.7856387109662006,2.1707930011741285
skewed,method1,18,1000,0.9902279998641461,0.8338134295107531,2.059316570271871
skewed,method2,18,1000,2.44379200324017,1.6359992878278717,2.023887140759533
skewed,method1,20,1000,0.9085537167266011,0.8348312860886965,1.9098164297507279
skewed,method2,20,1000,2.606002861284651,1.5526487134463554,2.011994145245158
skewed,method1,4,10000,11.76878400188538,5.1844988587877845,1.561349000050021
skewed,method2,4,10000,23.252396574077597,4.714258002682722,1.4543921445562904
skewed,method1,6,10000,11.496702710116681,5.779176283145456,1.529701000046251
skewed,method2,6,10000,30.068933429512462,5.491749853328137,1.4606282825947605
skewed,method1,8,10000,12.559535572238799,6.465465424948239,1.5239241433196835
skewed,method2,8,10000,41.172489858581685,6.479463714640588,1.460827573152658
skewed,method1,10,10000,14.234435715479776,7.369469146526951,1.5555921459703572
skewed,method2,10,10000,57.10693957267462,8.18249057504415,1.4723215697033862
skewed,method1,12,10000,15.353012281203908,8.275349000801466,1.5874795727930697
skewed,method2,12,10000,57.30841142732451,8.340670569201134,1.465956142055802
skewed,method1,14,10000,16.975203000973643,9.075608713568986,1.634542431150164
skewed,method2,14,10000,59.77097071341372,8.470046142714896,1.5465027120496546
skewed,method1,16,10000,18.958142571916273,10.080803142045625,1.7285187184045623
skewed,method2,16,10000,104.40571571650382,15.769235430135659,1.5132882856830423
skewed,method1,18,10000,21.400607571454852,11.060115423918303,1.713792429654859
skewed,method2,18,10000,103.88882113953254,15.569619285607976,1.5232854264987898
skewed,method1,20,10000,24.414812428793603,12.514028997559633,1.7405915714334697
skewed,method2,20,10000,104.51690271604873,15.761622855539565,1.501874000366245
outlier,method1,4,100,0.06513199852114278,0.052440998842939734,1.7657541424601473
outlier,method2,4,100,0.0998229973317523,0.07789300122697439,2.2641708533878306
outlier,method1,6,100,0.08057671116798051,0.060043856917348294,1.872201994826485
outlier,method2,6,100,0.09897485350458217,0.08506656740792096,2.158440713953626
outlier,method1,8,100,0.10597899589421493,0.08189356802696628,2.448910570819862
outlier,method2,8,100,0.10438256763986178,0.09190057088354868,1.9037904296835353
outlier,method1,10,100,0.11619571471653346,0.08741114080683994,2.4833121403519596
outlier,method2,10,100,0.1192585748088147,0.11110728623212449,1.9610397097754424
outlier,method1,12,100,0.07183657518388438,0.05873642762058547,1.5733815712987311
outlier,method2,12,100,0.12712071475107223,0.11913885620223093,2.214902573281766
outlier,method1,14,100,0.11784200199014906,0.09408614174130239,2.5505889997085824
outlier,method2,14,100,0.10957114032602736,0.11217485838902316,1.9857237161236947
outlier,method1,16,100,0.12580385581324144,0.10047157203579056,2.63599499677574
outlier,method2,16,100,0.12946557295176067,0.13206942821852863,1.6604835712184598
outlier,method1,18,100,0.09229985880665481,0.07806214229536376,1.9534771438754561
outlier,method2,18,100,0.1656132870786158,0.18181671579701028,2.2636218574397
outlier,method1,20,100,0.12427742642882679,0.09103285473039639,2.21847442818606
outlier,method2,20,100,0.17216857148533954,0.18386185443627515,2.266245717432217
outlier,method1,4,1000,0.8030737163997921,0.5406801418368039,1.934540000677641
outlier,method2,4,1000,0.7874390014746625,0.5311219969631306,1.641895717641871
outlier,method1,6,1000,0.9187804285569915,0.6798537111275696,2.214912429086066
outlier,method2,6,1000,1.10471728632027,0.7364449972685959,1.9456449995881744
outlier,method1,8,1000,0.7878980000636407,0.5840214310280446,1.783154287425402
outlier,method2,8,1000,1.3630201449684267,0.836746856553613,1.9863620047025117
outlier,method1,10,1000,1.0332102870701678,0.7956904300954193,2.3399282882954657
outlier,method2,10,1000,1.6780734274237017,1.0871077143487387,2.144612282531203
outlier,method1,12,1000,1.0294584312110342,0.7686018548806065,2.1468372849215354
outlier,method2,12,1000,1.7390747109727402,1.0965261421266146,2.123301139883032
outlier,method1,14,1000,0.9984491438704676,0.7408550029919881,2.1357022841194913
outlier,method2,14,1000,1.8339685733995534,1.1728025690120245,2.246959856295559
outlier,method1,16,1000,1.3268222828628495,0.9915049969484763,2.6388684283509583
outlier,method2,16,1000,2.5931322847359946,1.7574228550074622,2.1786348599042475
outlier,method1,18,1000,1.2468238564906642,0.950458282854275,2.441457285645551
outlier,method2,18,1000,2.835291429489319,1.777956569899938,2.331008714723534
outlier,method1,20,1000,1.2282164326669383,0.9856581434308151,2.341893861219952
outlier,method2,20,1000,2.959618719095098,1.7801512835181452,2.2442955690036928
outlier,method1,4,10000,10.54312143034102,5.046831712076839,1.4773400013967017
outlier,method2,4,10000,23.065790430077218,4.7036922873563265,1.4507208584940858
outlier,method1,6,10000,11.520657998127197,5.775703853162538,1.5228264279098116
outlier,method2,6,10000,30.06933200023403,5.534193287270942,1.4582235682090479
outlier,method1,8,10000,12.590594573079475,6.502631003968418,1.5540155748437559
outlier,method2,8,10000,41.09988413776072,6.480062002083287,1.4516084276172998
outlier,method1,10,10000,14.016820999261524,7.30438728351146,1.5557417126339195
outlier,method2,10,10000,57.51437199900725,8.204210713821729,1.4560784288083337
outlier,method1,12,10000,15.2161831439506,8.13387057444613,1.5934058610582724
outlier,method2,12,10000,56.9532281453056,8.335561718143124,1.4785274335216465
outlier,method1,14,10000,16.93002528710557,9.047472714363332,1.6404192844804908
outlier,method2,14,10000,58.36310156986916,8.405602572435912,1.5158024283924274
outlier,method1,16,10000,18.85851914370765,10.617981140967458,1.7720895723739107
outlier,method2,16,10000,104.76781071546222,15.665600855884675,1.4986615694527115
outlier,method1,18,10000,21.150895284206076,10.99141157257171,1.7046032901687016
outlier,method2,18,10000,103.1872854301972,15.569758857184622,1.5164114281235794
outlier,method1,20,10000,23.58584728374678,12.085214288422971,1.770782856120994
outlier,method2,20,10000,102.85182799894496,15.70247671250919,1.508010141800956
